Top_Left,Top_Center,Top_Right,Side_Right,Bottom_Center,Side_Left,Steering,Throttle
0,0,0,0,130,64,138,137
0,0,0,0,0,72,155,140
0,0,0,0,86,74,156,138
0,0,0,0,0,75,113,137
124,0,0,0,0,72,91,138
96,0,0,0,93,89,13,139
0,0,0,0,209,0,33,138
0,0,0,0,0,0,88,138
109,0,0,0,0,0,87,141
0,0,0,0,0,0,86,140
0,0,0,0,0,0,88,143
0,0,0,0,0,0,88,143
0,0,0,0,0,0,87,143
0,0,0,0,0,0,87,143
0,0,0,0,0,0,89,143
0,0,0,0,0,0,88,144
102,0,0,0,101,0,86,143
105,172,0,0,0,64,87,142
127,118,118,0,0,70,20,144
78,95,97,0,98,97,15,140
69,75,97,0,114,67,6,142
70,57,0,0,88,99,7,141
45,23,0,0,0,41,71,142
0,0,0,0,0,54,74,140
106,0,0,0,0,49,73,142
94,0,0,0,120,47,86,139
157,258,0,0,0,59,94,142
101,0,0,0,87,72,93,140
105,0,0,0,90,97,96,141
102,119,0,0,0,79,94,141
101,0,0,0,0,57,89,142
69,120,0,0,91,53,89,139
91,141,0,0,94,60,90,141
98,222,219,0,90,57,86,140
119,164,161,0,90,91,19,140
0,0,0,0,76,89,69,142
0,0,0,0,0,0,88,141
0,0,0,0,0,0,86,141
0,0,0,0,0,0,86,142
0,0,0,0,0,0,85,142
0,0,0,0,0,0,85,141
0,0,0,0,0,0,86,141
0,0,0,0,0,0,87,141
0,0,0,0,0,0,86,141
0,0,0,0,0,0,87,143
0,0,0,0,0,0,86,141
0,0,0,0,0,0,86,142
0,0,0,0,0,0,75,141
144,128,122,0,99,0,34,142
98,79,99,0,0,116,3,141
96,114,0,0,107,58,45,141
73,153,0,0,0,62,89,140
65,0,0,0,0,46,88,142
101,228,0,0,108,57,79,141
98,106,102,0,0,73,88,141
67,53,98,0,87,94,2,139
0,0,0,0,217,73,124,141
0,0,0,0,0,79,175,142
0,0,0,0,0,87,175,141
0,104,0,0,0,87,166,141
98,0,0,0,86,84,86,141
112,0,0,0,87,101,4,141
0,0,0,0,0,0,89,141
96,0,0,0,0,0,87,141
0,0,0,0,0,0,87,141
0,0,0,0,0,0,88,141
0,0,0,0,0,0,88,141
0,0,0,0,0,0,89,140
95,0,0,0,0,0,88,141
0,286,0,0,0,0,87,140
0,0,0,0,0,0,86,142
0,0,0,0,0,0,86,141
70,174,170,0,0,0,82,141
72,0,0,0,149,51,58,139
68,0,0,0,234,59,63,140
88,0,0,0,0,49,82,141
100,128,0,0,0,54,89,138
81,109,0,0,101,61,77,141
72,65,0,0,93,66,86,138
101,0,0,0,86,58,88,141
105,114,0,231,91,62,89,140
104,157,0,0,0,63,88,138
88,181,0,0,0,85,86,140
52,120,0,0,0,81,88,140
79,0,0,0,0,40,89,140
103,0,0,0,0,49,89,139
97,140,247,0,92,60,83,138
110,206,0,0,87,47,19,136
141,0,0,0,88,134,14,139
128,177,0,0,98,125,33,139
146,0,0,0,90,117,45,139
147,0,0,0,0,111,89,138
0,0,0,0,0,95,88,138
0,0,0,0,89,88,89,139
0,0,0,0,0,0,89,138
0,0,0,0,0,0,91,139
